Pressure (P),Temperature (T),Z (Pitzer),Z (PR)
80,281,0.96902321755297,0.9732471132538273
80,282,0.9698369682323916,0.9740222647702971
80,283,0.970638499383305,0.9747859330269516
80,284,0.9714280222750153,0.9755383186432414
80,285,0.9722057438788971,0.9762796179404039
80,286,0.9729718669698143,0.9770100230530999
80,287,0.97372659022481,0.9777297220375949
80,288,0.9744701083191487,0.9784388989766103
80,289,0.9752026120197895,0.9791377340809854
80,290,0.9759242882763698,0.979826403788225
80,291,0.9766353203097717,0.9805050808580827
80,292,0.9773358876983458,0.9811739344652589
80,293,0.978026166461859,0.9818331302893326
80,294,0.978706329143237,0.9824828306019939
80,295,0.9793765448881647,0.98312319435172
80,296,0.9800369795226079,0.9837543772459293
80,297,0.9806877956283182,0.9843765318307401
80,298,0.9813291526163784,0.9849898075683934
80,299,0.981961206798848,0.9855943509124337
80,300,0.9825841114585612,0.986190305380713
80,301,0.9831980169171336,0.9867778116262926
80,302,0.983803070601227,0.9873570075063209
80,303,0.9843994171071241,0.9879280281489492
80,304,0.9849871982636611,0.9884910060183463
80,305,0.9855665531935646,0.9890460709778887
80,306,0.9861376183732382,0.989593350351559
80,307,0.9867005276910453,0.990132968983654
80,308,0.9872554125041259,0.9906650492968082
80,309,0.9878024016937934,0.9911897113484287
80,310,0.9883416217195498,0.9917070728855659
80,311,0.9888731966717557,0.9922172493982824
80,312,0.9893972483229971,0.9927203541715655
80,313,0.9899138961781817,0.9932164983358307
80,314,0.9904232575234003,0.9937057909160542
80,315,0.9909254474735911,0.9941883388795855
80,316,0.9914205790190347,0.9946642471826811
80,317,0.9919087630707151,0.9951336188157922
80,318,0.9923901085045783,0.9955965548476486
80,319,0.9928647222047168,0.9960531544681811
80,320,0.9933327091055092,0.9965035150303115
80,321,0.9937941722327457,0.9969477320906405
80,322,0.9942492127437642,0.9973858994490898
90,273,0.9573022597872803,0.9661835065414398
90,274,0.9583368819420095,0.9671210260083262
90,275,0.9593556668523266,0.9680443682029476
90,276,0.9603588953871034,0.9689537875214953
90,277,0.9613468425443773,0.969849532754884
90,278,0.96231977759379,0.9707318472381322
90,279,0.9632779642150817,0.9716009689950169
90,280,0.9642216606327643,0.9724571308782088
90,281,0.9651511197470913,0.9733005607050248
90,282,0.9660665892614405,0.9741314813889774
90,283,0.9669683118062181,0.9749501110672539
90,284,0.9678565250593922,0.9757566632242838
90,285,0.9687314618637592,0.9765513468115197
90,286,0.969593350341041,0.9773343663635851
90,287,0.9704424140029113,0.9781059221108944
90,288,0.9712788718590423,0.9788662100888894
90,289,0.9721029385222631,0.9796154222439886
90,290,0.9729148243109159,0.9803537465363874
90,291,0.9737147353484933,0.9810813670398003
90,292,0.974502873660639,0.9817984640382466
90,293,0.9752794372695913,0.9825052141200099
90,294,0.9760446202861416,0.9832017902688257
90,295,0.9767986129991852,0.9838883619524286
90,296,0.9775416019629339,0.9845650952085179
90,297,0.978273770081858,0.985232152728259
90,298,0.9789952966934258,0.9858896939373634
90,299,0.979706357648704,0.9865378750748752
90,300,0.9804071253908814,0.9871768492697013
90,301,0.9810977690317753,0.9878067666149684
90,302,0.9817784544263802,0.9884277742402995
90,303,0.9824493442455146,0.9890400163820487
90,304,0.9831105980466187,0.9896436344515763
90,305,0.9837623723427601,0.9902387671016287
90,306,0.984404820669893,0.9908255502908749
90,307,0.985038093652426,0.9914041173466654
90,308,0.9856623390671415,0.9919745990260698
90,309,0.9862777019055176,0.9925371235752463
90,310,0.9868843244344934,0.9930918167871958
90,311,0.9874823462557251,0.9936388020579495
90,312,0.9880719043633718,0.9941782004412447
90,313,0.9886531332004543,0.9947101307017319
90,314,0.9892261647138254,0.9952347093667574
90,315,0.98979112840779,0.9957520507767691
90,316,0.990348151396414,0.9962622671343846
90,317,0.9908973584545544,0.9967654685521689
90,318,0.9914388720676506,0.9972617630991505
90,319,0.9919728124803063,0.9977512568461226
90,320,0.9924992977436978,0.9982340539097634
90,321,0.9930184437618389,0.9987102564956148
90,322,0.9935303643367347,0.9991799649399469
100,273,0.9525580664303115,0.9665103255424532
100,274,0.9537076466022327,0.9675004450804346
100,275,0.9548396298359185,0.9684756516329761
100,276,0.9559543282078926,0.9694362100419665
100,277,0.9570520472715303,0.9703823794107792
100,278,0.9581330862153221,0.9713144132532218
100,279,0.9591977380167575,0.9722325596379472
100,280,0.9602462895919602,0.973137061328554
100,281,0.9612790219412126,0.9740281559194577
100,282,0.9622962102904895,0.9749060759677177
100,283,0.9632981242291312,0.9757710491209385
100,284,0.9642850278437692,0.9766232982413849
100,285,0.9652571798486214,0.9774630415264303
100,286,0.9662148337122678,0.9782904926254682
100,287,0.9671582377810125,0.9791058607533978
100,288,0.9680876353989358,0.9799093508008136
100,289,0.9690032650247369,0.9807011634409735
100,290,0.9699053603454622,0.9814814952337021
100,291,0.9707941503872147,0.9822505387262827
100,292,0.9716698596229323,0.9830084825514558
100,293,0.9725327080773237,0.9837555115226372
100,294,0.9733829114290462,0.9844918067264069
100,295,0.9742206811102059,0.9852175456123967
100,296,0.9750462244032599,0.9859329020806206
100,297,0.9758597445353977,0.9866380465663783
100,298,0.976661440770473,0.9873331461227595
100,299,0.97745150849856,0.9880183645008662
100,300,0.9782301393232015,0.9886938622277998
100,301,0.9789975211464169,0.9893597966824966
100,302,0.9797538382515336,0.9900163221694751
100,303,0.980499271383905,0.9906635899905606
100,304,0.9812339978295763,0.9913017485146578
100,305,0.9819581914919556,0.9919309432456169
100,306,0.9826720229665478,0.9925513168882661
100,307,0.9833756596138067,0.9931630094126723
100,308,0.9840692656301573,0.9937661581166548
100,309,0.9847530021172417,0.9943608976866514
100,310,0.9854270271494371,0.9949473602569427
100,311,0.9860914958396946,0.9955256754673139
100,312,0.9867465604037464,0.9960959705191911
100,313,0.9873923702227271,0.9966583702303013
100,314,0.9880290719042504,0.9972129970878911
100,315,0.988656809341989,0.9977599713005678
100,316,0.9892757237737934,0.9982994108487808
100,317,0.9898859538383937,0.998831431533997
100,318,0.9904876356307228,0.999356147026616
100,319,0.9910809027558959,0.9998736689126392
100,320,0.9916658863818865,1.0003841067391468
100,321,0.9922427152909321,1.0008875680586278
100,322,0.9928115159297052,1.0013841584721639
110,273,0.9478138730733426,0.9675537014752832
110,274,0.9490784112624561,0.968586709906187
110,275,0.9503235928195103,0.9696042473500157
110,276,0.9515497610286819,0.9706065847606296
110,277,0.9527572519986833,0.9715939873552089
110,278,0.9539463948368544,0.9725667147576148
110,279,0.9551175118184332,0.9735250211376867
110,280,0.9562709185511563,0.974469155346584
110,281,0.9574069241353338,0.9753993610483227
110,282,0.9585258313195384,0.9763158768475778
110,283,0.9596279366520444,0.9772189364139211
110,284,0.9607135306281461,0.9781087686025403
110,285,0.9617828978334835,0.9789855975716153
110,286,0.9628363170834946,0.9798496428963929
110,287,0.9638740615591138,0.9807011196801012
110,288,0.9648963989388294,0.9815402386617788
110,289,0.9659035915272105,0.9823672063211237
110,290,0.9668958963800084,0.9831822249804477
110,291,0.9678735654259362,0.9839854929038288
110,292,0.9688368455852255,0.9847772043935443
110,293,0.9697859788850561,0.9855575498838524
110,294,0.9707212025719508,0.9863267160322493
110,295,0.9716427492212264,0.9870848858082091
110,296,0.972550846843586,0.9878322385795459
110,297,0.9734457189889375,0.9885689501964354
110,298,0.9743275848475204,0.9892951930731666
110,299,0.9751966593484159,0.9900111362677217
110,300,0.9760531532555217,0.9907169455591969
110,301,0.9768972732610587,0.991412783523193
110,302,0.977729222076687,0.9920988096051736
110,303,0.9785491985222956,0.9927751801919023
110,304,0.979357397612534,0.9934420486809775
110,305,0.9801540106411513,0.9940995655485512
110,306,0.9809392252632027,0.9947478784152712
110,307,0.9817132255751874,0.9953871321104886
110,308,0.982476192193173,0.9960174687348043
110,309,0.983228302328966,0.9966390277209933
110,310,0.9839697298643808,0.9972519458933445
110,311,0.984700645423664,0.9978563575254774
110,312,0.9854212164441212,0.9984523943966752
110,313,0.9861316072449998,0.9990401858467668
110,314,0.9868319790946755,0.9996198588296203
110,315,0.9875224902761879,1.0001915379652677
110,316,0.9882032961511726,1.0007553455907099
110,317,0.9888745492222332,1.0013114018094473
110,318,0.9895363991937952,1.001859824539754
110,319,0.9901889930314856,1.0024007295617394
110,320,0.9908324750200751,1.0029342305632516
110,321,0.9914669868200253,1.0034604391846098
110,322,0.9920926675226758,1.0039794650622567
120,273,0.9430696797163738,0.9692784293483526
120,274,0.9444491759226793,0.9703451077818742
120,275,0.9458075558031022,0.9713959254514187
120,276,0.9471451938494712,0.9724311553591684
120,277,0.9484624567258364,0.9734510648964605
120,278,0.9497597034583866,0.9744559159770492
120,279,0.9510372856201089,0.9754459651668956
120,280,0.9522955475103523,0.9764214638106201
120,281,0.9535348263294551,0.9773826581546639
120,282,0.9547554523485874,0.978329789467273
120,283,0.9559577490749575,0.9792630941553625
120,284,0.957142033412523,0.9801828038783569
120,285,0.9583086158183457,0.9810891456590827
120,286,0.9594578004547214,0.981982341991785
120,287,0.960589885337215,0.9828626109473434
120,288,0.961705162478723,0.9837301662757817
120,289,0.9628039180296842,0.9845852175061043
120,290,0.9638864324145546,0.9854279700435815
120,291,0.9649529804646577,0.9862586252645003
120,292,0.9660038315475187,0.9870773806084897
120,293,0.9670392496927884,0.9878844296684676
120,294,0.9680594937148554,0.9886799622782716
120,295,0.969064817332247,0.9894641645980464
120,296,0.9700554692839118,0.9902372191974489
120,297,0.9710316934424773,0.9909993051367154
120,298,0.9719937289245676,0.9917505980456707
120,299,0.972941810198272,0.9924912702007166
