Pressure (P),Temperature (T),Z (Pitzer),Z (PR),Z (RK)
40,289,0.9240161210435149,0.9080338443065802,0.9218586251611787
40,290,0.9249636533926476,0.9091488498780294,0.9228621807081692
40,291,0.9258985511348825,0.9102481569407804,0.9238508920094666
40,292,0.9268210196598711,0.9113320596387297,0.9248250480420486
40,293,0.9277312603628154,0.9124008448595174,0.9257849304754111
40,294,0.9286294707351983,0.9134547924644445,0.926730813906226
40,295,0.9295158444531546,0.9144941755092814,0.9276629660836682
40,296,0.9303905714635516,0.9155192604564314,0.9285816481258391
40,297,0.9312538380678475,0.9165303073788413,0.9294871147277493
40,298,0.932105827003789,0.9175275701560467,0.9303796143612177
40,299,0.9329467175250162,0.9185112966627402,0.9312593894670933
40,300,0.933776685478629,0.919481728950176,0.9321266766401424
40,301,0.9345959033807782,0.9204391034207754,0.9329817068069444
40,302,0.9354045404903367,0.9213836509962104,0.9338247053971089
40,303,0.9362027628807054,0.9223155972792874,0.9346558925081208
40,304,0.9369907335098063,0.9232351627098762,0.9354754830641028
40,305,0.9377686122883173,0.9241425627151892,0.9362836869687474
40,306,0.9385365561461945,0.9250380078546169,0.9370807092527045
40,307,0.9392947190975327,0.9259217039593906,0.9378667502156339
40,308,0.9400432523038124,0.9267938522672735,0.9386420055631837
40,309,0.9407823041355734,0.9276546495525083,0.939406666539095
40,310,0.9415120202325654,0.9285042882512151,0.940160920052642
40,311,0.9422325435624128,0.9293429565824339,0.9409049488016161
40,312,0.9429440144778385,0.9301708386649954,0.941638931391032
40,313,0.9436465707724842,0.9309881146303864,0.9423630424477321
40,314,0.9443403477353678,0.931794960731794,0.9430774527310657
40,315,0.9450254782040138,0.9325915494494554,0.9437823292398029
40,316,0.9457020926162951,0.9333780495924955,0.9444778353154357
40,317,0.9463703190610185,0.9341546263973646,0.9451641307420087
40,318,0.9470302833272916,0.934921441623035,0.9458413718426235
40,319,0.9476821089527013,0.9356786536430767,0.9465097115727514
40,320,0.9483259172703379,0.9364264175347287,0.9471692996104757
40,321,0.9489618274546953,0.937164885165088,0.9478202824437798
40,322,0.9495899565664772,0.9378942052745463,0.9484628034550147
50,273,0.8836908359540862,0.8622555372576741,0.8807928191306063
50,274,0.8851674246420165,0.8640316030495664,0.8824236429855441
